000234	6	Imperial Technology, Inc.
000235	6	Paragon Networks International
000236	6	INIT GmbH
000237	6	Cosmo Research Corp.
000238	6	Serome Technology, Inc.
000239	6	Visicom
00023A	6	ZSK Stickmaschinen GmbH
00023B	6	Ericsson
00023C	6	Creative Technology, Ltd.
00023D	6	Cisco Systems, Inc
00023E	6	Selta Telematica S.p.a
00023F	6	Compal Electronics INC.
000240	6	Seedek Co., Ltd.
000241	6	Amer.com
000242	6	Videoframe Systems
000243	6	Raysis Co., Ltd.
000244	6	SURECOM Technology Co.
000245	6	Lampus Co, Ltd.
000246	6	All-Win Tech Co., Ltd.
000247	6	Great Dragon Information Technology (Group) Co., Ltd.
000248	6	Pilz GmbH & Co.
000249	6	Aviv Infocom Co, Ltd.
00024A	6	Cisco Systems, Inc
00024B	6	Cisco Systems, Inc
00024C	6	SiByte, Inc.
00024D	6	Mannesman Dematic Colby Pty. Ltd.
00024E	6	Datacard Group
00024F	6	IPM Datacom S.R.L.
000250	6	Geyser Networks, Inc.
000251	6	Soma Networks, Inc.
000252	6	Carrier Corporation
000253	6	Televideo, Inc.
000254	6	WorldGate
000255	6	IBM Corp
000256	6	Alpha Processor, Inc.
000257	6	Microcom Corp.
000258	6	Flying Packets Communications
000259	6	Tsann Kuen China (Shanghai)Enterprise Co., Ltd. IT Group
00025A	6	Catena Networks
00025B	6	Cambridge Silicon Radio
00025C	6	SCI Systems (Kunshan) Co., Ltd.
00025D	6	Calix Networks
00025E	6	High Technology Ltd
00025F	6	Nortel Networks
000260	6	Accordion Networks, Inc.
000261	6	Tilgin AB
000262	6	Soyo Group Soyo Com Tech Co., Ltd
000263	6	RPS S.p.A.
000264	6	AudioRamp.com
000265	6	Virditech Co. Ltd.
000266	6	Thermalogic Corporation
000267	6	Node Runner, Inc.
000268	6	Harris Government Communications
000269	6	Nadatel Co., Ltd
00026A	6	Cocess Telecom Co., Ltd.
00026B	6	BCM Computers Co., Ltd.
00026C	6	Philips CFT
00026D	6	Adept Telecom
00026E	6	NeGeN Access, Inc.
00026F	6	Senao International Co., Ltd.
000270	6	Crewave Co., Ltd.
000271	6	Zhone Technologies, Inc.
000272	6	CC&C Technologies, Inc.
000273	6	Coriolis Networks
000274	6	Tommy Technologies Corp.
000275	6	SMART Technologies, Inc.
000276	6	Primax Electronics Ltd.
000277	6	Cash Systemes Industrie
000278	6	Samsung Electro Mechanics Co., Ltd.
000279	6	Control Applications, Ltd.
00027A	6	IOI Technology Corporation
00027B	6	Amplify Net, Inc.
00027C	6	Trilithic, Inc.
00027D	6	Cisco Systems, Inc
00027E	6	Cisco Systems, Inc
00027F	6	ask-technologies.com
000280	6	Mu Net, Inc.
000281	6	Madge Ltd.
000282	6	ViaClix, Inc.
000283	6	Spectrum Controls, Inc.
000284	6	UK Grid Solutions Limited
000285	6	Riverstone Networks
